variant,endpoint,login,note_title,created_at,expected_title_user,expected_formatted_date,required_tests
1,/api/notes,user01,Заметка 01,2027-01-04,Заметка 01 - user01,04.01.2027,200;500;valid JSON
2,/notes,user02,Заметка 02,2027-02-07,Заметка 02 - user02,07.02.2027,200;500;valid JSON
3,/api/notes,user03,Заметка 03,2027-03-10,Заметка 03 - user03,10.03.2027,200;500;valid JSON
4,/notes,user04,Заметка 04,2027-04-13,Заметка 04 - user04,13.04.2027,200;500;valid JSON
5,/api/notes,user05,Заметка 05,2027-05-16,Заметка 05 - user05,16.05.2027,200;500;valid JSON
6,/notes,user06,Заметка 06,2027-06-19,Заметка 06 - user06,19.06.2027,200;500;valid JSON
7,/api/notes,user07,Заметка 07,2027-07-22,Заметка 07 - user07,22.07.2027,200;500;valid JSON
8,/notes,user08,Заметка 08,2027-08-25,Заметка 08 - user08,25.08.2027,200;500;valid JSON
9,/api/notes,user09,Заметка 09,2027-09-01,Заметка 09 - user09,01.09.2027,200;500;valid JSON
10,/notes,user10,Заметка 10,2027-10-04,Заметка 10 - user10,04.10.2027,200;500;valid JSON
11,/api/notes,user11,Заметка 11,2027-11-07,Заметка 11 - user11,07.11.2027,200;500;valid JSON
12,/notes,user12,Заметка 12,2027-12-10,Заметка 12 - user12,10.12.2027,200;500;valid JSON
13,/api/notes,user13,Заметка 13,2027-01-13,Заметка 13 - user13,13.01.2027,200;500;valid JSON
14,/notes,user14,Заметка 14,2027-02-16,Заметка 14 - user14,16.02.2027,200;500;valid JSON
15,/api/notes,user15,Заметка 15,2027-03-19,Заметка 15 - user15,19.03.2027,200;500;valid JSON
16,/notes,user16,Заметка 16,2027-04-22,Заметка 16 - user16,22.04.2027,200;500;valid JSON
17,/api/notes,user17,Заметка 17,2027-05-25,Заметка 17 - user17,25.05.2027,200;500;valid JSON
18,/notes,user18,Заметка 18,2027-06-01,Заметка 18 - user18,01.06.2027,200;500;valid JSON
19,/api/notes,user19,Заметка 19,2027-07-04,Заметка 19 - user19,04.07.2027,200;500;valid JSON
20,/notes,user20,Заметка 20,2027-08-07,Заметка 20 - user20,07.08.2027,200;500;valid JSON
21,/api/notes,user21,Заметка 21,2027-09-10,Заметка 21 - user21,10.09.2027,200;500;valid JSON
22,/notes,user22,Заметка 22,2027-10-13,Заметка 22 - user22,13.10.2027,200;500;valid JSON
23,/api/notes,user23,Заметка 23,2027-11-16,Заметка 23 - user23,16.11.2027,200;500;valid JSON
24,/notes,user24,Заметка 24,2027-12-19,Заметка 24 - user24,19.12.2027,200;500;valid JSON
25,/api/notes,user25,Заметка 25,2027-01-22,Заметка 25 - user25,22.01.2027,200;500;valid JSON
26,/notes,user26,Заметка 26,2027-02-25,Заметка 26 - user26,25.02.2027,200;500;valid JSON
27,/api/notes,user27,Заметка 27,2027-03-01,Заметка 27 - user27,01.03.2027,200;500;valid JSON
28,/notes,user28,Заметка 28,2027-04-04,Заметка 28 - user28,04.04.2027,200;500;valid JSON
29,/api/notes,user29,Заметка 29,2027-05-07,Заметка 29 - user29,07.05.2027,200;500;valid JSON
30,/notes,user30,Заметка 30,2027-06-10,Заметка 30 - user30,10.06.2027,200;500;valid JSON
